OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
076,2022076000435,248388285,T,BBT 07003002,3,BBT E TUBE,EB@,BKLYN SIDE,3,5,0,3,5,0,2,0,3,0,0,0,0,0,1,0
076,2022076000448,248415128,H,278IX2MR08A1,1,GOWANUS EXP,EB@,EXR HAMILTON AV,2,3,0,2,3,0,1,0,2,0,0,0,0,0,1,0
076,2022076000398,247449282,H,278IX2M23062,1,GOWANUS EXP,EB@,NELSON ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
076,2022076000405,247526980,H,278IX2M23061,1,GOWANUS EXP,EB@,W 9 ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
076,2022076000421,248069374,H,278IX2M23061,2,GOWANUS EXP,EB@,W 9 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
076,2022076000451,248473853,H,278IX2M24063,1,GOWANUS EXP,WB@,LUQUEER ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
076,2022076000409,247592350,H,278IX2M24059,1,GOWANUS EXP,WB@,SMITH ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000598,247712625,H,278IX2M23073,1,B.Q.E.,EB@,ATLANTIC AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
084,2022084000669,248740617,H,278IX2M23073,2,B.Q.E.,EB@,ATLANTIC AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000635,248252248,H,278IX2M23083,1,B.Q.E.,EB@,BKLYN BR E/B EN,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
084,2022084000591,247628295,H,278IX2M23080,1,B.Q.E.,EB@,CADMAN PLAZA W,2,3,0,2,3,0,1,0,2,0,0,0,0,0,1,0
084,2022084000621,248098667,H,278IX2M23080,2,B.Q.E.,EB@,CADMAN PLAZA W,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
084,2022084000643,248380935,H,278IX2M23082,1,B.Q.E.,EB@,FULTON ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000600,247771066,H,278IX2M24073,1,B.Q.E.,WB@,ATLANTIC AV,1,3,0,1,3,0,1,0,2,0,0,0,0,0,1,0
084,2022084000606,247799697,H,278IX2M24073,2,B.Q.E.,WB@,ATLANTIC AV,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
084,2022084000607,247799698,H,278IX2M24073,3,B.Q.E.,WB@,ATLANTIC AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000638,248298081,H,278IX2M24073,4,B.Q.E.,WB@,ATLANTIC AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000642,248481467,H,278IX2M24073,5,B.Q.E.,WB@,ATLANTIC AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000655,248835321,H,278IX2M24073,6,B.Q.E.,WB@,ATLANTIC AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
084,2022084000625,248254759,H,278IX2M24083,1,B.Q.E.,WB@,BKLYN BR/FULTN ST EX,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
084,2022084000640,248477605,H,278IX2M24080,1,B.Q.E.,WB@,CADMAN PLAZA W,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
