OccurrencePrecinctCode,GeoCodeLabel,Borough,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
076,76th Precinct,BROOKLYN,67.0,135.0,14.0,12.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0
077,77th Precinct,BROOKLYN,124.0,246.0,63.0,23.0,1.0,27.0,0.0,14.0,0.0,16.0,1.0,14.0
078,78th Precinct,BROOKLYN,94.0,157.0,41.0,10.0,0.0,13.0,0.0,17.0,0.0,10.0,0.0,20.0
079,79th Precinct,BROOKLYN,94.0,178.0,46.0,17.0,0.0,19.0,1.0,12.0,0.0,8.0,0.0,14.0
081,81st Precinct,BROOKLYN,76.0,152.0,28.0,15.0,0.0,12.0,0.0,4.0,0.0,4.0,0.0,5.0
083,83rd Precinct,BROOKLYN,146.0,297.0,62.0,37.0,0.0,33.0,0.0,12.0,0.0,9.0,0.0,13.0
084,84th Precinct,BROOKLYN,105.0,191.0,50.0,18.0,0.0,26.0,0.0,9.0,0.0,9.0,0.0,9.0
088,88th Precinct,BROOKLYN,66.0,132.0,27.0,14.0,0.0,6.0,0.0,11.0,0.0,7.0,0.0,9.0
090,90th Precinct,BROOKLYN,179.0,345.0,77.0,35.0,1.0,33.0,0.0,16.0,0.0,13.0,0.0,23.0
094,94th Precinct,BROOKLYN,111.0,219.0,41.0,23.0,0.0,13.0,0.0,6.0,0.0,6.0,0.0,6.0
100,100th Precinct,QUEENS,35.0,62.0,10.0,8.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
101,101st Precinct,QUEENS,58.0,115.0,18.0,11.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0
102,102nd Precinct,QUEENS,124.0,269.0,51.0,33.0,1.0,32.0,0.0,4.0,0.0,8.0,0.0,8.0
103,103rd Precinct,QUEENS,122.0,245.0,39.0,21.0,0.0,16.0,0.0,3.0,0.0,6.0,0.0,4.0
104,104th Precinct,QUEENS,147.0,300.0,57.0,33.0,0.0,35.0,0.0,6.0,0.0,8.0,0.0,7.0
105,105th Precinct,QUEENS,279.0,580.0,125.0,108.0,0.0,57.0,1.0,2.0,0.0,16.0,1.0,2.0
106,106th Precinct,QUEENS,172.0,373.0,73.0,60.0,0.0,40.0,0.0,0.0,0.0,8.0,0.0,1.0
107,107th Precinct,QUEENS,175.0,361.0,69.0,45.0,2.0,34.0,0.0,3.0,0.0,10.0,0.0,4.0
108,108th Precinct,QUEENS,158.0,298.0,60.0,32.0,0.0,20.0,1.0,11.0,0.0,7.0,0.0,12.0
109,109th Precinct,QUEENS,211.0,426.0,75.0,55.0,0.0,30.0,0.0,9.0,0.0,12.0,0.0,9.0
110,110th Precinct,QUEENS,171.0,327.0,58.0,23.0,0.0,29.0,0.0,11.0,0.0,9.0,0.0,14.0
111,111th Precinct,QUEENS,124.0,264.0,40.0,33.0,0.0,18.0,0.0,2.0,0.0,1.0,0.0,2.0
112,112th Precinct,QUEENS,89.0,176.0,35.0,24.0,0.0,17.0,0.0,3.0,0.0,7.0,0.0,3.0
113,113th Precinct,QUEENS,161.0,337.0,66.0,45.0,0.0,44.0,0.0,5.0,0.0,7.0,0.0,5.0
114,114th Precinct,QUEENS,200.0,388.0,81.0,48.0,0.0,21.0,0.0,12.0,0.0,12.0,0.0,13.0
115,115th Precinct,QUEENS,144.0,284.0,60.0,34.0,0.0,23.0,0.0,13.0,0.0,10.0,0.0,15.0
120,120th Precinct,STATEN ISLAND,131.0,257.0,47.0,29.0,0.0,28.0,0.0,6.0,0.0,6.0,1.0,7.0
121,121st Precinct,STATEN ISLAND,135.0,268.0,48.0,44.0,0.0,17.0,0.0,3.0,0.0,5.0,0.0,3.0
122,122nd Precinct,STATEN ISLAND,122.0,236.0,42.0,30.0,0.0,38.0,0.0,3.0,0.0,3.0,0.0,3.0
123,123rd Precinct,STATEN ISLAND,64.0,125.0,24.0,21.0,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0
