OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
122,2022122000832,248133026,1,FATHER CAPODANNO BLVD&&SLATER BLVD,SLATER BLVD,FATHER CAPODANNO BLVD,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
122,2022122000806,247744437,1,FINGERBOARD RD&&NARROWS RD S,NARROWS RD S,FINGERBOARD RD,2,2,0,2,2,0,2,0,0,0,0,0,0,0,1,0
122,2022122000844,248322964,1,FOCH AVE&&LAMPORT BLVD,LAMPORT BLVD,FOCH AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000793,247612105,1,GARRETSON AVE&&HYLAN BLVD,GARRETSON AVE,HYLAN BLVD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000901,248819063,1,GREELEY AVE&&POULTNEY ST,GREELEY AVE,POULTNEY ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000859,248793799,1,GUYON AVE&&S RAILROAD AVE,GUYON AVE,S RAILROAD AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000829,248178092,1,HICKORY AVE&&MC CLEAN AVE,MC CLEAN AVE,HICKORY AVE,2,4,0,2,4,0,2,0,2,0,0,0,0,0,1,0
122,2022122000787,247461786,1,HILLCREST ST&&OSBORNE AVE,HILLCREST ST,OSBORNE AVE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000817,248031996,1,HILLSIDE TER&&HYLAN BLVD,HYLAN BLVD,HILLSIDE TER,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000875,248672252,1,HYLAN BLVD&&KENSINGTON AVE,HYLAN BLVD,KENSINGTON AVE,1,2,0,1,2,0,0,0,1,0,0,0,1,0,1,0
122,2022122000855,248368501,1,HYLAN BLVD&&NAUGHTON AVE,HYLAN BLVD,NAUGHTON AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000807,247813794,1,HYLAN BLVD&&OAK AVE,OAK AVE,HYLAN BLVD,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
122,2022122000856,248446145,1,HYLAN BLVD&&QUINTARD ST,HYLAN BLVD,QUINTARD ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000864,248672245,1,HYLAN BLVD&&REID AVE,HYLAN BLVD,REID AVE,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0
122,2022122000831,248133025,1,HYLAN BLVD&&ROBINSON AVE,HYLAN BLVD,ROBINSON AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
122,2022122000882,249016294,1,HYLAN BLVD&&SEAVIEW AVE,HYLAN BLVD,SEAVIEW AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000835,248178094,1,KRAMER ST&&PARKINSON AVE,KRAMER ST,PARKINSON AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000902,248945491,1,LEGION PL&&NARROWS RD S,NARROWS RD S,LEGION PL,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000861,248446148,1,LILY POND AVE&&MC CLEAN AVE,MC CLEAN AVE,LILY POND AVE,2,4,0,2,4,0,1,0,3,0,0,0,0,0,1,0
122,2022122000841,248368495,1,LINCOLN AVE&&N RAILROAD AVE,LINCOLN AVE,N RAILROAD AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000799,247612109,1,MANOR RD&&ROCKLAND AVE,MANOR RD,ROCKLAND AVE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2022122000834,248322962,1,MANSION AVE&&WHITMAN AVE,MANSION AVE,WHITMAN AVE,2,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1
