OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
077,2022077000716,248710913,1,FRANKLIN AVE&&PACIFIC ST,FRANKLIN AVE,PACIFIC ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000694,248710901,1,FRANKLIN AVE&&PARK PL,PARK PL,FRANKLIN AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000736,248880396,2,FRANKLIN AVE&&PARK PL,PARK PL,FRANKLIN AVE,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000692,249032723,1,FRANKLIN AVE&&PROSPECT PL,PROSPECT PL,FRANKLIN AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000675,248242029,1,HAMPTON PL&&PARK PL,HAMPTON PL,PARK PL,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000676,248465320,1,HAMPTON PL&&STERLING PL,STERLING PL,HAMPTON PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000662,248237560,1,KINGSTON AVE&&PROSPECT PL,PROSPECT PL,KINGSTON AVE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000679,248363729,1,LINCOLN PL&&NOSTRAND AVE,NOSTRAND AVE,LINCOLN PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000730,248830227,1,LINCOLN PL&&ROCHESTER AVE,LINCOLN PL,ROCHESTER AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
077,2022077000635,248145424,1,LINCOLN PL&&SCHENECTADY AVE,SCHENECTADY AVE,LINCOLN PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
