OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
040,2022040000959,249196451,1,COURTLANDT AVE&&E 153 ST,COURTLANDT AVE,E 153 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000953,248177983,1,COURTLANDT AVE&&E 154 ST,E 154 ST,COURTLANDT AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000950,248151964,1,CYPRESS AVE&&E 138 ST,E 138 ST,CYPRESS AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
040,2022040000978,248548140,1,CYPRESS AVE&&E 140 ST,E 140 ST,CYPRESS AVE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
040,2022040000899,248090035,1,CYPRESS AVE&&E 141 ST,CYPRESS AVE,E 141 ST,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
040,2022040000960,248294567,1,CYPRESS PL&&E 133 ST,E 133 ST,CYPRESS PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000895,247838949,1,E 134 ST&&WILLIS AVE,E 134 ST,WILLIS AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000974,248494925,1,E 135 ST&&LINCOLN AVE,E 135 ST,LINCOLN AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
040,2022040000900,247574977,1,E 135 ST&&WILLIS AVE,E 135 ST,WILLIS AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000990,248494931,2,E 135 ST&&WILLIS AVE,WILLIS AVE,E 135 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000993,248548143,3,E 135 ST&&WILLIS AVE,WILLIS AVE,E 135 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
040,2022040000942,249076989,1,E 135 ST&&WILLIS AVENUE BRIDGE BIKE PATH,WILLIS AVENUE BRIDGE BIKE PATH,E 135 ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
040,2022040000912,248004199,1,E 138 ST&&EXTERIOR ST,E 138 ST,EXTERIOR ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000908,248290627,2,E 138 ST&&EXTERIOR ST,EXTERIOR ST,E 138 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000996,248847941,3,E 138 ST&&EXTERIOR ST,E 138 ST,EXTERIOR ST,2,2,0,2,2,0,2,0,0,0,0,0,0,0,1,0
040,2022040001009,248898090,4,E 138 ST&&EXTERIOR ST,EXTERIOR ST,E 138 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000999,248626058,1,E 138 ST&&PARK AVE,E 138 ST,PARK AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000932,248005462,1,E 138 ST&&ST ANNS AVE,E 138 ST,ST ANNS AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
040,2022040000940,248290628,1,E 138 ST&&WALNUT AVE,WALNUT AVE,E 138 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000896,247529379,1,E 138 ST&&WILLOW AVE,WILLOW AVE,E 138 ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
040,2022040000983,248738767,1,E 142 ST&&RIDER AVE,RIDER AVE,E 142 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
